Aufgabe7_Schufascoring_Falsch_e881faad883d4dd9ac2d5ff8513bbaf2.bpmn,1,1,1,1,1,1,1,1,1,1,1,1,Good,Good,1,1,Good,Good
Aufgabe_7_-_Schufascoring_112537f7ba20411196e8c58da704a8a5.bpmn,1,1,1,0,1,1,1,1,0,1,0.7200000000000001,0,Well,Bad,0.7200000000000001,0,Well,Bad
Aufgabe_7_-_Schufascoring_112537f7ba20411196e8c58da704a8a5.bpmn,1,1,1,1,1,1,1,1,1,1,1,1,Good,Good,1,1,Good,Good
Aufgabe_7_afcf1e818a444213ae439ecbb29f97a9.bpmn,1,0,1,0,1,1,0.8571428571428572,1,0,1,0.53,0,Satisfied,Bad,0.692857142857143,0,Well,Bad
Aufgabe_7_afcf1e818a444213ae439ecbb29f97a9.bpmn,1,0,1,0,1,1,0.875,1,0,1,0.53,0,Satisfied,Bad,0.69625,0,Well,Bad
Aufgabe_7_e18e5f3c92fd4c298cc56ae757499cb9.bpmn,1,1,0,0,1,1,1,0.5,0,1,0.56,0,Satisfied,Bad,0.64,0,Well,Bad
Aufgabe_7_e18e5f3c92fd4c298cc56ae757499cb9.bpmn,1,1,0,0,1,1,1,0.5,0,1,0.56,0,Satisfied,Bad,0.64,0,Well,Bad
Aufgabe_7_Schufascoring_c612cc8ea5584028a549329658ff9811.bpmn,1,1,0,0,1,1,1,0.5,0,1,0.56,0,Satisfied,Bad,0.64,0,Well,Bad
Aufgabe_7_Schufascoring_c612cc8ea5584028a549329658ff9811.bpmn,1,1,0,0,1,1,1,0.5,0,1,0.56,0,Satisfied,Bad,0.64,0,Well,Bad
Banking_97d94af1573f443fbf6ae42eba61c8f4.bpmn,1,0,1,0,1,1,0.9,1,0,1,0.53,0,Satisfied,Bad,0.7010000000000001,0,Well,Bad
Banking_97d94af1573f443fbf6ae42eba61c8f4.bpmn,1,1,1,1,1,1,1,1,1,1,1,1,Good,Good,1,1,Good,Good
Banking_example_9c5d8339e9a344cd92a7ab481b70fb6a.bpmn,1,0,1,0,1,1,0.8,1,0,1,0.53,0,Satisfied,Bad,0.682,0,Well,Bad
Banking_example_9c5d8339e9a344cd92a7ab481b70fb6a.bpmn,1,0,0,0,1,1,0.7142857142857143,0.5,0,1,0.37,0,Satisfied,Bad,0.5857142857142857,0,Satisfied,Bad
BPMN__bung7_cd9a8d06b62c46ac836893bc8b518c7f.bpmn,1,0,1,0,1,1,0.9,1,0,1,0.53,0,Satisfied,Bad,0.7010000000000001,0,Well,Bad
BPMN__bung7_cd9a8d06b62c46ac836893bc8b518c7f.bpmn,1,1,0,0,1,1,1,0.5,0,1,0.56,0,Satisfied,Bad,0.64,0,Well,Bad
Credit-Scoring_1b37e3c83ccb4102baa284e941257249.bpmn,1,0,0,1,1,1,0.9166666666666666,0.2,1,1,0.65,0,Well,Bad,0.8561666666666667,0.2,Good,Poor
Credit-Scoring_1b37e3c83ccb4102baa284e941257249.bpmn,1,1,0,0,1,1,1,0.5,0,1,0.56,0,Satisfied,Bad,0.64,0,Well,Bad
Credit_Scoring_7840de1bde374062bdf1fff4786bc668.bpmn,1,1,1,0,1,1,1,1,0,1,0.7200000000000001,0,Well,Bad,0.7200000000000001,0,Well,Bad
Credit_Scoring_7840de1bde374062bdf1fff4786bc668.bpmn,1,1,1,1,1,1,1,1,1,1,1,1,Good,Good,1,1,Good,Good
Credit_scoring_ae633fa3ecc14bceb7aeb6a7804d1856.bpmn,1,1,1,0,1,1,1,1,0,1,0.7200000000000001,0,Well,Bad,0.7200000000000001,0,Well,Bad
Credit_scoring_ae633fa3ecc14bceb7aeb6a7804d1856.bpmn,1,1,0,0,1,1,1,0.5,0,1,0.56,0,Satisfied,Bad,0.64,0,Well,Bad
Credit_Scoring_cf0e56ba1f6747d6a21978128da3fe4c.bpmn,1,1,1,0,1,1,1,1,0,1,0.7200000000000001,0,Well,Bad,0.7200000000000001,0,Well,Bad
Credit_Scoring_cf0e56ba1f6747d6a21978128da3fe4c.bpmn,1,1,0,0,1,1,1,0.5,0,1,0.56,0,Satisfied,Bad,0.64,0,Well,Bad
Exercise5_CreditScoring_cf6f52570b7843b4b30c3e46c7472e32.bpmn,1,1,1,0,1,1,1,1,0,1,0.7200000000000001,0,Well,Bad,0.7200000000000001,0,Well,Bad
Exercise5_CreditScoring_cf6f52570b7843b4b30c3e46c7472e32.bpmn,1,1,1,1,1,1,1,1,1,1,1,1,Good,Good,1,1,Good,Good
exercise5_d009430cddd648bb878e9718b9ffa27d.bpmn,1,0,1,0,1,1,0.8,1,0,1,0.53,0,Satisfied,Bad,0.682,0,Well,Bad
exercise5_d009430cddd648bb878e9718b9ffa27d.bpmn,1,0,1,0,1,1,0.9,1,0,1,0.53,0,Satisfied,Bad,0.7010000000000001,0,Well,Bad
exercise5_d009430cddd648bb878e9718b9ffa27d.bpmn,1,0,1,0,1,1,0.8888888888888888,1,0,1,0.53,0,Satisfied,Bad,0.6988888888888889,0,Well,Bad
exercise7_c385f6618b6d446f82fff5ad3bba8f99.bpmn,1,0,0,0,1,1,0.875,0.5,0,1,0.37,0,Satisfied,Bad,0.61625,0,Satisfied,Bad
